Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
0 0 0 1 1 3072 1536 1 1 1
0.25 1.22342e-05 6.79468e-06 0.996868 0.997357 3072 1536 0.99686 0.997349 1.01479
0.5 4.8829e-05 2.71254e-05 0.98879 0.990766 3072 1536 0.988759 0.990735 1.02038
0.75 0.000109571 6.08896e-05 0.975852 0.980273 3072 1536 0.975785 0.980205 1.01681
1 0.000194112 0.000107961 0.958191 0.965956 3072 1536 0.958073 0.965837 1.0042
1.25 0.000301972 0.000168224 0.93599 0.947925 3072 1536 0.93581 0.947742 0.982759
1.5 0.000432584 0.000241427 0.909479 0.926315 3072 1536 0.909226 0.926058 0.952803
1.75 0.000585245 0.000327297 0.878926 0.90129 3072 1536 0.878594 0.90095 0.914732
2 0.000759269 0.000425542 0.844642 0.873039 3072 1536 0.844226 0.872608 0.869029
2.25 0.000953798 0.000535842 0.806969 0.841771 3072 1536 0.806465 0.841245 0.81626
2.5 0.00116777 0.000657796 0.766276 0.807716 3072 1536 0.765685 0.807093 0.757065
2.75 0.00140024 0.000791169 0.722961 0.77112 3072 1536 0.722286 0.770401 0.692143
3 0.00165029 0.000935367 0.677436 0.732244 3072 1536 0.676684 0.731431 0.622251
3.25 0.00191675 0.00108987 0.630132 0.69136 3072 1536 0.629311 0.690459 0.548189
3.5 0.00219829 0.00125433 0.581485 0.648747 3072 1536 0.580606 0.647767 0.470778
3.75 0.00249382 0.001428 0.531935 0.604692 3072 1536 0.531012 0.603643 0.390858
4 6.98803 6.22329 0.352909 0.432671 3072 1536 0.352213 0.431817 0.298647
4.25 15.0071 13.869 0.156458 0.256157 3072 1536 0.156109 0.255586 0.218221
4.5 15.0072 13.8691 0.142278 0.243965 3072 1536 0.141923 0.243356 0.179478
4.75 15.0073 13.8692 0.128242 0.23139 3072 1536 0.127885 0.230746 0.138123
5 15.0075 13.8693 0.114456 0.218489 3072 1536 0.114103 0.217815 0.0944814
5.25 15.0076 13.8694 0.101023 0.205316 3072 1536 0.10068 0.204618 0.0489142
5.5 15.0078 13.8695 0.088038 0.191926 3072 1536 0.0877097 0.19121 0.00181049
5.75 15.008 13.8695 0.0755876 0.178369 3072 1536 0.0752795 0.177642 -0.0464152
6 15.0083 13.8696 0.0637509 0.164697 3072 1536 0.0634679 0.163966 -0.0953323
6.25 15.0085 13.8696 0.0525979 0.150962 3072 1536 0.0523446 0.150235 -0.144495
6.5 15.0088 13.8696 0.0421897 0.137213 3072 1536 0.0419699 0.136499 -0.193453
6.75 15.0091 13.8696 0.0325777 0.123504 3072 1536 0.0323947 0.12281 -0.241757
7 15.0094 13.8696 0.0238039 0.109887 3072 1536 0.0236601 0.109223 -0.288963
7.25 15.0097 13.8696 0.0159005 0.0964148 3072 1536 0.0157975 0.0957902 -0.33464
7.5 15.01 13.8696 0.00888968 0.0831414 3072 1536 0.00882806 0.0825651 -0.378382
7.75 15.0103 13.8695 0.00278347 0.0701197 3072 1536 0.00276287 0.0696008 -0.419809
8 15.0107 13.8695 -0.00241599 0.0574017 3072 1536 -0.00239694 0.0569491 -0.45858
8.25 15.011 13.8694 -0.00671653 0.0450375 3072 1536 -0.00666021 0.0446598 -0.494386
8.5 15.0113 13.8693 -0.0101357 0.0330742 3072 1536 -0.0100455 0.0327798 -0.526957
8.75 17.1419 15.0058 -0.0105119 0.0229344 3072 1536 -0.0104127 0.0227181 -0.288111
9 17.1421 15.0056 -0.0125704 0.0145942 3072 1536 -0.012445 0.0144486 -0.266763
9.25 18.1151 16.1584 -0.0158547 -0.00375686 3072 1536 -0.0156876 -0.00371728 -0.202465
9.5 18.1152 16.1582 -0.0167245 -0.00928107 3072 1536 -0.0165386 -0.00917792 -0.183633
9.75 18.1153 16.1579 -0.0170988 -0.0144349 3072 1536 -0.0168986 -0.014266 -0.163104
10 18.1154 16.1577 -0.0170219 -0.019211 3072 1536 -0.0168124 -0.0189745 -0.141082
10.25 18.1156 16.1575 -0.0165413 -0.0236028 3072 1536 -0.0163274 -0.0232975 -0.117781
