Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
0 3.4022 2.93192 1.34893 3.96522 1.68459
0.1 3.38578 2.91765 1.3452 3.94922 1.67457
0.2 3.33772 2.8757 1.33423 3.90227 1.64516
0.3 3.26157 2.80862 1.31673 3.82751 1.59825
0.4 3.16304 2.72053 1.29383 3.72997 1.53688
0.5 3.04963 2.61688 1.26702 3.61635 1.46507
0.6 2.93023 2.50423 1.23809 3.49456 1.38758
0.7 2.81463 2.38985 1.20901 3.37339 1.30965
0.8 2.71288 2.28138 1.18184 3.26196 1.2367
0.9 2.63477 2.1864 1.15861 3.16922 1.174
1 2.58924 2.11199 1.14117 3.10342 1.12638
1.1 2.58378 2.06436 1.13115 3.07166 1.09791
1.2 2.62404 2.04844 1.12979 3.07939 1.09166
1.3 2.71339 2.06755 1.13787 3.13009 1.10951
1.4 2.85269 2.12321 1.1557 3.22499 1.15201
1.5 3.04013 2.21492 1.18301 3.3629 1.21829
1.6 3.27123 2.34013 1.21898 3.54023 1.30616
1.7 3.53899 2.49436 1.26231 3.75107 1.41214
1.8 3.83415 2.67131 1.31118 3.98741 1.53167
1.9 4.14557 2.86321 1.36344 4.23954 1.65939
2 4.46076 3.06117 1.41663 4.49651 1.78937
2.1 4.76639 3.25565 1.4682 4.74662 1.9155
2.2 5.04899 3.43698 1.51556 4.9781 2.03177
2.3 5.29558 3.59587 1.55628 5.17964 2.13268
2.4 5.49432 3.72394 1.58821 5.34106 2.21344
2.5 5.63512 3.81418 1.60959 5.45382 2.27031
2.6 5.71021 3.86134 1.61918 5.51151 2.30073
2.7 5.71452 3.86222 1.61628 5.51017 2.30342
2.8 5.64607 3.81585 1.6008 5.44858 2.27847
2.9 5.50608 3.72352 1.57327 5.32828 2.22725
3 5.29896 3.5887 1.53476 5.15354 2.15228
3.1 5.03222 3.41681 1.48685 4.9311 2.05709
3.2 4.71607 3.21496 1.43155 4.66987 1.94601
3.3 4.36297 2.99147 1.37113 4.38039 1.82384
3.4 3.98703 2.75546 1.30804 4.07435 1.69569
3.5 3.60333 2.51636 1.24476 3.76393 1.56665
3.6 3.22712 2.28344 1.18364 3.46123 1.4416
3.7 2.87312 2.06534 1.12686 3.17764 1.32497
3.8 2.55476 1.86973 1.07625 2.92332 1.22061
3.9 2.2835 1.70296 1.03327 2.70675 1.13165
4 2.06836 1.5699 0.998928 2.5344 1.06043
4.1 1.9155 1.47379 0.973808 2.41052 1.00846
4.2 1.82802 1.41624 0.958035 2.33704 0.97644
4.3 1.80594 1.39729 0.951338 2.3137 0.964277
4.4 1.84637 1.41554 0.953095 2.33812 0.971149
4.5 1.94385 1.46834 0.962411 2.4062 0.995586
4.6 2.0908 1.55203 0.978191 2.51238 1.03555
4.7 2.27812 1.66217 0.999228 2.65011 1.08855
4.8 2.4958 1.79379 1.02427 2.81223 1.15171
4.9 2.73358 1.94161 1.05212 2.99143 1.22193
5 2.98157 2.10028 1.08163 3.18058 1.29594
5.1 3.23073 2.26455 1.11182 3.37309 1.37045
5.2 3.4733 2.42942 1.14185 3.56314 1.44226
5.3 3.7031 2.5903 1.17105 3.74582 1.50837
5.4 3.91559 2.74314 1.1989 3.91729 1.56608
5.5 4.1079 2.88445 1.22505 4.07469 1.61312
5.6 4.27862 3.01147 1.24926 4.21616 1.64772
5.7 4.42759 3.1222 1.27138 4.3407 1.6687
5.8 4.55556 3.21543 1.29133 4.44805 1.67551
5.9 4.66382 3.29081 1.30907 4.53853 1.66826
6 4.75388 3.34886 1.3246 4.61289 1.64772
6.1 4.82722 3.39094 1.33789 4.67221 1.61523
6.2 4.88506 3.41921 1.34893 4.71776 1.57269
6.3 4.92824 3.43652 1.35772 4.75094 1.52242
6.4 4.95728 3.44632 1.36425 4.77326 1.46706
6.5 4.97247 3.45244 1.36854 4.78631 1.40938
6.6 4.974 3.45889 1.37065 4.79178 1.35222
6.7 4.96228 3.46962 1.37069 4.79145 1.29827
6.8 4.93813 3.48827 1.36884 4.78722 1.25002
6.9 4.90305 3.51789 1.36536 4.78115 1.20963
7 4.85938 3.56074 1.36059 4.77536 1.17883
7.1 4.8104 3.61806 1.35495 4.77209 1.15896
7.2 4.76033 3.68997 1.34892 4.77353 1.15085
7.3 4.71421 3.77544 1.34306 4.78184 1.15495
7.4 4.67771 3.87226 1.33792 4.79898 1.17127
7.5 4.65678 3.97721 1.33404 4.82664 1.1995
7.6 4.65732 4.08628 1.33197 4.86613 1.23901
7.7 4.68482 4.19493 1.33214 4.91833 1.28895
7.8 4.74392 4.29843 1.33492 4.98363 1.34829
7.9 4.83818 4.39226 1.34058 5.06195 1.41587
8 4.96982 4.47243 1.34922 5.15277 1.49041
8.1 5.13959 4.53592 1.36086 5.2552 1.57055
8.2 5.34679 4.58088 1.37538 5.36816 1.65489
8.3 5.58943 4.6069 1.39258 5.49048 1.74198
8.4 5.8644 4.61509 1.41217 5.62109 1.83036
8.5 6.16786 4.60813 1.43383 5.75918 1.91856
8.6 6.49554 4.59012 1.45726 5.9043 2.00519
8.7 6.84313 4.56637 1.48216 6.05654 2.08892
8.8 7.20662 4.54313 1.50834 6.21651 2.1686
8.9 7.58256 4.52716 1.53567 6.38532 2.24326
9 7.9682 4.52535 1.56413 6.56455 2.31222
9.1 8.36156 4.54428 1.59383 6.75606 2.37509
9.2 8.76137 4.58977 1.62494 6.9618 2.43185
9.3 9.16687 4.66657 1.65771 7.18358 2.48283
9.4 9.57761 4.77799 1.69242 7.42281 2.52869
9.5 9.99307 4.92575 1.72933 7.68024 2.5704
9.6 10.4125 5.10982 1.76863 7.95578 2.60918
9.7 10.8344 5.32841 1.81039 8.2483 2.64638
9.8 11.2567 5.57812 1.85452 8.55556 2.68343
9.9 11.6764 5.85403 1.90074 8.87421 2.72174
10 12.0895 6.15003 1.94857 9.19989 2.76262
10.1 12.4917 6.45913 1.99733 9.52745 2.80724
10.2 12.8781 6.77378 2.04615 9.85118 2.85659
10.3 13.2438 7.08634 2.09407 10.1652 2.91152
10.4 13.5846 7.38936 2.14003 10.4638 2.97277
10.5 13.8969 7.67608 2.18302 10.7418 3.04106
10.6 14.1787 7.94066 2.22209 10.9953 3.11716
10.7 14.4293 8.17858 2.2565 11.2213 3.20196
10.8 14.6502 8.38684 2.28575 11.4188 3.29661
10.9 14.8446 8.56417 2.30966 11.5882 3.40244
11 15.0173 8.71117 2.32839 11.7318 3.52103
11.1 15.175 8.83031 2.34247 11.8536 3.65408
11.2 15.325 8.92592 2.35277 11.9593 3.80325
11.3 15.4757 9.00409 2.36044 12.0554 3.97
11.4 15.635 9.07235 2.36685 12.1497 4.15526
11.5 15.8106 9.13948 2.37347 12.25 4.35921
11.6 16.0088 9.21497 2.38179 12.3641 4.58096
11.7 16.2345 9.30867 2.39317 12.4991 4.81835
11.8 16.4908 9.43013 2.40874 12.6613 5.06771
11.9 16.7786 9.58809 2.42932 12.8551 5.32387
12 17.097 9.78986 2.45534 13.0836 5.58018
12.1 17.4432 10.0408 2.48679 13.3477 5.82868
12.2 17.8128 10.3437 2.52321 13.6464 6.06047
12.3 18.2006 10.6987 2.56375 13.9766 6.26617
12.4 18.6007 11.1028 2.60724 14.3335 6.43646
12.5 19.0069 11.5497 2.65225 14.711 6.56274
12.6 19.4136 12.0307 2.69725 15.1016 6.63775
12.7 19.816 12.5341 2.74075 15.4975 6.65619
12.8 20.2102 13.0466 2.78138 15.8904 6.6152
12.9 20.5939 13.554 2.81811 16.2728 6.51478
13 20.9658 14.0419 2.85024 16.6381 6.35794
13.1 21.3264 14.4968 2.87757 16.9809 6.15066
13.2 21.6771 14.9077 2.9004 17.298 5.90169
13.3 22.0208 15.2664 2.91952 17.5882 5.62206
13.4 22.3611 15.5691 2.93619 17.8529 5.32443
13.5 22.7025 15.8166 2.95202 18.096 5.02237
13.6 23.0504 16.0146 2.96894 18.3239 4.72942
13.7 23.4104 16.174 2.98896 18.5453 4.4583
13.8 23.7889 16.3106 3.01413 18.7708 4.22002
13.9 24.1924 16.4435 3.04633 19.0126 4.02321
14 24.6278 16.5951 3.08715 19.2836 3.87361
14.1 25.1022 16.7888 3.13777 19.5968 3.77374
14.2 25.6227 17.0474 3.19889 19.9644 3.72279
14.3 26.196 17.3918 3.27066 20.3972 3.71687
14.4 26.8283 17.8388 3.35261 20.9034 3.74934
14.5 27.5243 18.3998 3.44374 21.488 3.8114
14.6 28.2872 19.0792 3.5425 22.1521 3.89284
14.7 29.1178 19.8738 3.64689 22.8924 3.98281
14.8 30.0136 20.7723 3.75452 23.7011 4.07066
14.9 30.9688 21.7552 3.86274 24.5655 4.1467
15 31.9734 22.7962 3.96877 25.4683 4.20282
15.1 33.013 23.8628 4.06977 26.3886 4.23306
15.2 34.0688 24.9185 4.16299 27.3019 4.23386
15.3 35.1184 25.9246 4.24587 28.1821 4.20422
15.4 36.1357 26.8429 4.31614 29.002 4.14563
15.5 37.0924 27.638 4.3719 29.735 4.06178
15.6 37.9592 28.2799 4.41169 30.3569 3.95817
15.7 38.7076 28.7456 4.43455 30.8469 3.84164
15.8 39.3112 29.0212 4.44003 31.1889 3.71977
15.9 39.7477 29.1027 4.42829 31.3734 3.60031
16 40.0006 28.9968 4.40001 31.3971 3.49065
16.1 40.0607 28.7204 4.35646 31.2646 3.39734
16.2 39.9269 28.2996 4.2994 30.9873 3.32572
16.3 39.6072 27.7684 4.2311 30.584 3.27963
16.4 39.1186 27.1663 4.15421 30.0794 3.26129
16.5 38.4868 26.5363 4.07169 29.5028 3.27125
16.6 37.7446 25.9215 3.98672 28.8871 3.30845
16.7 36.9313 25.363 3.90255 28.2666 3.37039
16.8 36.0895 24.8969 3.82234 27.6752 3.45336
16.9 35.2635 24.5524 3.74907 27.1441 3.55266
17 34.4967 24.3499 3.68537 26.7009 3.66296
17.1 33.8287 24.2999 3.63338 26.367 3.77856
17.2 33.293 24.4028 3.59465 26.1573 3.89371
17.3 32.9153 24.6488 3.57008 26.0789 4.00289
17.4 32.7114 25.0195 3.55984 26.1309 4.10109
17.5 32.6868 25.489 3.56336 26.3048 4.18403
17.6 32.8359 26.0262 3.57942 26.5853 4.24841
17.7 33.1424 26.5969 3.60616 26.9511 4.29201
17.8 33.5807 27.1669 3.64126 27.3764 4.31389
17.9 34.117 27.7037 3.68208 27.8332 4.31438
18 34.7121 28.1794 3.72579 28.2922 4.29513
18.1 35.323 28.5718 3.76963 28.7257 4.25901
18.2 35.9061 28.8662 3.81101 29.1083 4.20995
18.3 36.4199 29.056 3.84773 29.4191 4.15275
18.4 36.8273 29.1422 3.8781 29.6425 4.09273
18.5 37.0978 29.1335 3.90102 29.7687 4.03539
18.6 37.2096 29.0447 3.91604 29.7947 3.98597
18.7 37.1505 28.895 3.92333 29.7233 3.94907
18.8 36.9189 28.7064 3.92366 29.5632 3.92818
18.9 36.5235 28.5015 3.91828 29.3277 3.92536
19 35.983 28.3014 3.90879 29.034 3.94093
19.1 35.3247 28.1241 3.89698 28.7012 3.97336
19.2 34.583 27.9829 3.88467 28.3499 4.01923
19.3 33.7974 27.8857 3.87355 28 4.07335
19.4 33.0098 27.8343 3.86503 27.6697 4.12916
19.5 32.2626 27.8247 3.86015 27.3751 4.17912
19.6 31.5955 27.8481 3.85949 27.1284 4.21532
19.7 31.0437 27.8916 3.86316 26.9385 4.23016
19.8 30.6359 27.9401 3.87082 26.81 4.21705
19.9 30.3921 27.978 3.88174 26.7439 4.17108
20 30.3228 27.9908 3.89492 26.7374 4.08958
20.1 30.4281 27.9674 3.90919 26.785 3.97256
20.2 30.6978 27.9008 3.92336 26.8789 3.82294
20.3 31.1121 27.7896 3.93636 27.0095 3.64654
20.4 31.6422 27.6383 3.94733 27.1668 3.45188
20.5 32.2525 27.4576 3.95574 27.3405 3.24964
20.6 32.9025 27.2631 3.96141 27.521 3.05198
20.7 33.5491 27.0749 3.96457 27.6997 2.87175
20.8 34.1494 26.9155 3.96578 27.8695 2.72147
20.9 34.6636 26.8083 3.96589 28.0251 2.61242
21 35.0571 26.7753 3.96595 28.1629 2.5537
21.1 35.3031 26.8354 3.96708 28.2811 2.55152
21.2 35.3844 27.0023 3.97036 28.3796 2.60861
21.3 35.2944 27.283 3.97668 28.4598 2.72394
21.4 35.0383 27.6774 3.98669 28.524 2.89277
21.5 34.6321 28.1773 4.00068 28.5759 3.10688
21.6 34.1025 28.7668 4.01854 28.6192 3.35524
21.7 33.4848 29.4232 4.03981 28.6584 3.62474
21.8 32.8209 30.118 4.06366 28.6975 3.90128
21.9 32.1566 30.8192 4.08899 28.7406 4.17075
22 31.5381 31.4927 4.11451 28.7909 4.42015
22.1 31.0097 32.105 4.1389 28.8509 4.63858
22.2 30.6098 32.6252 4.16088 28.922 4.818
22.3 30.369 33.0266 4.17933 29.0045 4.95381
22.4 30.3075 33.2888 4.19344 29.0973 5.04511
22.5 30.4334 33.3985 4.20269 29.1979 5.09467
22.6 30.7427 33.3502 4.20698 29.3025 5.10852
22.7 31.2188 33.1461 4.20656 29.4059 5.09536
22.8 31.8342 32.7959 4.20203 29.5021 5.06568
22.9 32.5519 32.3157 4.1943 29.5839 5.03077
23 33.3281 31.7264 4.18444 29.644 5.00169
23.1 34.1154 31.0528 4.17366 29.6751 4.9882
23.2 34.866 30.3212 4.16317 29.6703 4.99792
23.3 35.5351 29.5583 4.1541 29.6241 5.03562
23.4 36.0837 28.7897 4.14748 29.5325 5.10282
23.5 36.4816 28.0386 4.14415 29.3937 5.19763
23.6 36.7089 27.325 4.14477 29.2087 5.31497
23.7 36.7577 26.6655 4.14985 28.9813 5.44699
23.8 36.6319 26.0731 4.15982 28.7184 5.58384
23.9 36.3468 25.5574 4.17504 28.4299 5.71451
24 35.9277 25.1253 4.19592 28.1287 5.82783
24.1 35.4076 24.7814 4.22299 27.8297 5.91348
24.2 34.8248 24.5291 4.25693 27.5496 5.96289
24.3 34.2202 24.3708 4.29861 27.306 5.97
24.4 33.6338 24.3085 4.34909 27.116 5.9318
24.5 33.1025 24.3443 4.40958 26.9961 5.84854
24.6 32.6576 24.4797 4.48134 26.9601 5.72378
24.7 32.323 24.716 4.56558 27.019 5.56399
24.8 32.1141 25.0531 4.6633 27.18 5.37801
24.9 32.0375 25.4895 4.77514 27.4456 5.17628
25 32.0916 26.0206 4.90125 27.8137 4.96993
25.1 32.267 26.6388 5.04113 28.2771 4.76982
25.2 32.5486 27.3322 5.19354 28.8241 4.58563
25.3 32.917 28.0847 5.35644 29.439 4.42506
25.4 33.3509 28.8759 5.52702 30.1024 4.29325
25.5 33.8287 29.6813 5.70178 30.7928 4.19238
25.6 34.3301 30.4731 5.87664 31.4871 4.1216
25.7 34.8379 31.2218 6.04718 32.1625 4.07718
25.8 35.3386 31.897 6.20885 32.7969 4.05297
25.9 35.8225 32.4698 6.35729 33.3707 4.04104
26 36.2842 32.914 6.48855 33.8671 4.03245
26.1 36.7212 33.2083 6.59943 34.2735 4.01811
26.2 37.1337 33.3375 6.68766 34.5815 3.98968
26.3 37.5229 33.294 6.75213 34.7874 3.94028
26.4 37.8902 33.0783 6.79291 34.8921 3.86515
26.5 38.2357 32.6994 6.81136 34.9005 3.76206
26.6 38.5575 32.1744 6.80999 34.8213 3.63143
26.7 38.8512 31.5273 6.79235 34.6661 3.47629
26.8 39.1092 30.7884 6.76278 34.4485 3.30193
26.9 39.3216 29.9913 6.72614 34.1832 3.11538
27 39.4763 29.172 6.68746 33.885 2.92476
27.1 39.5598 28.3658 6.65164 33.5679 2.73851
