Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
0 0 0 0 1 1 1 7704 7704 23112 1 1 1 1
1.5 2.16067e-06 3.27916e-06 1.16853e-05 0.987661 0.986482 0.981958 7704 7704 23112 0.987661 0.986481 0.981957 0.978819
3 8.56622e-06 1.3005e-05 4.62502e-05 0.965361 0.958664 0.94339 7704 7704 23112 0.965359 0.958662 0.943388 0.937397
4.5 1.91456e-05 2.90114e-05 0.0001029 0.942392 0.928356 0.893746 7704 7704 23112 0.942388 0.928352 0.893742 0.881241
6 3.3766e-05 5.11484e-05 0.000180434 0.915811 0.891529 0.830814 7704 7704 23112 0.915804 0.891522 0.830807 0.79804
7.5 5.23445e-05 7.90877e-05 0.000277361 0.887809 0.848444 0.756801 7704 7704 23112 0.887798 0.848434 0.756792 0.697942
9 7.47515e-05 0.000112589 0.000391919 0.856149 0.802502 0.672369 7704 7704 23112 0.856134 0.802489 0.672357 0.598234
10.5 0.00010083 0.000151338 0.000521945 0.821627 0.753101 0.580778 7704 7704 23112 0.821608 0.753083 0.580764 0.49456
12 0.00013044 0.000195058 0.000665466 0.786454 0.70296 0.48445 7704 7704 23112 0.78643 0.702938 0.484435 0.384925
13.5 0.00016348 0.000243476 0.000820256 0.749852 0.649729 0.383223 7704 7704 23112 0.749823 0.649703 0.383208 0.270682
15 0.000199781 0.000296048 0.000983973 0.711091 0.592041 0.279548 7704 7704 23112 0.711057 0.592012 0.279534 0.160223
16.5 0.000239173 0.000352451 0.00115406 0.66897 0.53634 0.176822 7704 7704 23112 0.668931 0.536309 0.176811 0.0554181
18 0.00028137 0.000412526 0.00132858 0.626293 0.479593 0.0761234 7704 7704 23112 0.62625 0.47956 0.0761182 -0.0573398
19.5 0.000326327 0.000475635 0.00150514 0.583832 0.422245 -0.0222492 7704 7704 23112 0.583785 0.42221 -0.0222474 -0.163094
21 0.000373753 0.000541662 0.00168125 0.538582 0.366186 -0.116022 7704 7704 23112 0.538532 0.366151 -0.116011 -0.259977
